feature,importance
jobType_JANITOR,0.21821626611046907
yearsExperience,0.18674393884615448
milesFromMetropolis,0.12982581082340036
major_NONE,0.08568446332745443
jobType_JUNIOR,0.07474639549685048
jobType_CEO,0.04855808603120556
jobType_SENIOR,0.04018338525260553
industry_FINANCE,0.028895711736241815
industry_EDUCATION,0.02874189275357712
industry_OIL,0.025168103219992726
jobType_CFO,0.023449995536904817
jobType_CTO,0.02070860880014034
industry_SERVICE,0.015786704272286872
degree_DOCTORAL,0.01404376170150898
industry_WEB,0.009936377756006615
jobType_MANAGER,0.00958500894196966
degree_NONE,0.0064197584199742535
major_ENGINEERING,0.005911547606804483
industry_AUTO,0.005393745768952397
degree_MASTERS,0.004370773228500875
major_BUSINESS,0.004318341087361551
jobType_VICE_PRESIDENT,0.004315214903634865
industry_HEALTH,0.002486221255372839
major_LITERATURE,0.002292794656095124
major_MATH,0.0012313226290703568
degree_HIGH_SCHOOL,0.000834809494534258
major_BIOLOGY,0.0007361228258706541
major_CHEMISTRY,0.0007150023270989599
major_PHYSICS,0.0003240624817744647
degree_BACHELORS,0.00028141243596092327
major_COMPSCI,9.436027222504322e-05
